Order ID,Order Date,State,Region,Category,Sub-Category,Sales,Quantity,Profit
00001-IND,2023-11-14,Gujarat,West,Furniture,Chairs,15954.29,8,3274.4
00002-IND,2023-02-04,Tamil Nadu,South,Furniture,Tables,8336.76,4,1651.44
00003-IND,2023-03-24,Delhi,North,Technology,Phones,6759.37,7,419.47
00004-IND,2023-01-27,Delhi,North,Technology,Phones,17410.43,9,4850.02
00005-IND,2023-05-07,Uttar Pradesh,North,Furniture,Tables,1808.53,2,339.64
00006-IND,2023-08-12,Uttar Pradesh,North,Technology,Laptops,8537.04,6,1875.78
00007-IND,2023-06-25,Uttar Pradesh,North,Technology,Phones,1404.51,7,115.82
00008-IND,2023-06-02,Gujarat,West,Technology,Accessories,10793.66,2,867.98
00009-IND,2023-09-17,Maharashtra,West,Technology,Accessories,1519.99,3,312.83
00010-IND,2023-07-03,Maharashtra,West,Furniture,Chairs,7244.86,9,2131.74
00011-IND,2023-10-05,Delhi,North,Furniture,Bookcases,996.06,6,99.48
00012-IND,2023-05-13,Gujarat,West,Office Supplies,Paper,13741.68,7,3499.12
00013-IND,2023-07-09,Rajasthan,North,Furniture,Tables,7483.84,6,1004.12
00014-IND,2023-09-19,Uttar Pradesh,North,Office Supplies,Pens,4311.56,8,637.08
00015-IND,2023-09-23,Uttar Pradesh,North,Technology,Laptops,19649.72,4,5142.14
00016-IND,2023-11-24,Maharashtra,West,Office Supplies,Binders,11872.91,1,2201.83
00017-IND,2023-11-14,Delhi,North,Office Supplies,Paper,516.78,10,148.65
00018-IND,2023-03-31,Maharashtra,West,Office Supplies,Paper,5754.65,1,976.68
00019-IND,2023-03-09,Tamil Nadu,South,Technology,Accessories,6750.81,1,1052.35
00020-IND,2023-03-10,Tamil Nadu,South,Technology,Accessories,6846.89,6,895.67
00021-IND,2023-05-31,Delhi,North,Office Supplies,Paper,6644.46,5,1848.14
00022-IND,2023-02-24,Gujarat,West,Office Supplies,Binders,15271.59,4,933.25
00023-IND,2023-07-20,West Bengal,East,Office Supplies,Pens,16907.83,1,4361.8
00024-IND,2023-07-25,Uttar Pradesh,North,Office Supplies,Binders,7531.29,4,1496.21
00025-IND,2023-06-04,Karnataka,South,Furniture,Chairs,5321.28,1,1450.73
00026-IND,2023-02-19,Karnataka,South,Technology,Phones,5741.53,1,1102.04
00027-IND,2023-09-18,West Bengal,East,Technology,Accessories,17090.73,2,1928.79
00028-IND,2023-07-14,Rajasthan,North,Office Supplies,Pens,11147.23,3,946.19
00029-IND,2023-12-17,West Bengal,East,Furniture,Chairs,12320.03,4,1291.1
00030-IND,2023-08-19,Delhi,North,Technology,Laptops,704.93,3,114.02
00031-IND,2023-06-06,West Bengal,East,Technology,Phones,16418.81,8,3263.79
00032-IND,2023-06-12,Rajasthan,North,Furniture,Bookcases,11340.41,2,1695.2
00033-IND,2023-01-15,Uttar Pradesh,North,Technology,Accessories,2582.95,1,299.53
00034-IND,2023-06-18,Rajasthan,North,Office Supplies,Pens,17241.64,2,4163.72
00035-IND,2023-01-24,West Bengal,East,Technology,Phones,5172.42,5,957.17
00036-IND,2023-09-22,Karnataka,South,Technology,Laptops,13135.8,5,1734.43
00037-IND,2023-06-02,Delhi,North,Office Supplies,Paper,17070.34,4,4122.46
00038-IND,2023-11-05,Maharashtra,West,Furniture,Chairs,8118.71,2,551.02
00039-IND,2023-12-25,West Bengal,East,Furniture,Bookcases,6463.74,2,916.66
00040-IND,2023-06-02,Tamil Nadu,South,Office Supplies,Paper,3597.53,2,361.47
00041-IND,2023-11-19,Delhi,North,Furniture,Chairs,6629.52,2,854.62
00042-IND,2023-12-21,Gujarat,West,Technology,Phones,7028.78,1,1192.02
00043-IND,2023-03-16,Uttar Pradesh,North,Technology,Accessories,18716.58,1,3348.45
00044-IND,2023-10-21,Uttar Pradesh,North,Furniture,Bookcases,12856.95,6,1862.99
00045-IND,2023-11-17,West Bengal,East,Technology,Accessories,12162.5,7,1867.61
